Pos_main,rank_in_pos,Player,Squad,Comp,MP,Min,90s,workload_index,injury_risk_score
DF,1,Iñigo Martínez,Barcelona,es La Liga,28.0,2490.0,27.7,106.68592057761734,105.28899588264368
DF,2,Rúben Dias,Manchester City,eng Premier League,27.0,2271.0,25.2,96.19047619047619,90.01544220797601
DF,3,Marquinhos,Paris S-G,fr Ligue 1,22.0,1725.0,19.2,94.20833333333336,81.93294983252667
DF,4,Marcos Alonso,Celta Vigo,es La Liga,31.0,2647.0,29.4,89.32653061224491,84.78017448756502
DF,5,Jan Paul van Hecke,Brighton,eng Premier League,34.0,2958.0,32.9,88.41945288753801,85.38553988065728
DF,6,Dayot Upamecano,Bayern Munich,de Bundesliga,20.0,1759.0,19.5,87.07692307692308,85.28744958238974
DF,7,Ronald Araújo,Barcelona,es La Liga,12.0,754.0,8.4,83.64285714285714,58.240621413174324
DF,8,Nathan Aké,Manchester City,eng Premier League,10.0,678.0,7.5,80.74666666666667,61.099507358024695
DF,9,Leonardo Balerdi,Marseille,fr Ligue 1,27.0,2273.0,25.3,79.399209486166,74.13883302290245
DF,10,Pierre Kalulu,Juventus,it Serie A,29.0,2337.0,26.0,79.3846153846154,70.99003740733185
FW,1,Antony,Betis,es La Liga,17.0,1362.0,15.1,73.41721854304636,65.49999314902196
FW,2,Vinicius Júnior,Real Madrid,es La Liga,30.0,2253.0,25.0,73.024,61.0157170725926
FW,3,Ousmane Dembélé,Paris S-G,fr Ligue 1,29.0,1730.0,19.2,72.3125,47.98674995787215
FW,4,Reiss Nelson,Fulham,eng Premier League,11.0,487.0,5.4,72.2962962962963,35.63711247515546
FW,5,Chidera Ejuke,Sevilla,es La Liga,25.0,966.0,10.7,71.96261682242991,30.992199221669047
FW,6,Abdul Fatawu Issahaku,Leicester City,eng Premier League,11.0,579.0,6.4,67.84375,39.884972281407826
FW,7,Lamine Yamal,Barcelona,es La Liga,35.0,2856.0,31.7,67.41955835962146,61.1913428667151
FW,8,Noni Madueke,Chelsea,eng Premier League,32.0,2033.0,22.6,62.49557522123894,44.094110963545965
FW,9,Malick Fofana,Lyon,fr Ligue 1,29.0,1589.0,17.7,60.55367231638418,36.77324858967683
FW,10,Khvicha Kvaratskhelia,Paris S-G,fr Ligue 1,14.0,916.0,10.2,60.54901960784314,43.92227599342812
GK,1,Sam Johnstone,Wolves,eng Premier League,7.0,630.0,7.0,43.2,43.2
GK,2,Vanja Milinković-Savić,Torino,it Serie A,37.0,3330.0,37.0,41.56216216216217,41.56216216216217
GK,3,Michael Zetterer,Werder Bremen,de Bundesliga,34.0,3060.0,34.0,38.9764705882353,38.9764705882353
GK,4,Mike Maignan,Milan,it Serie A,37.0,3294.0,36.6,37.775956284153004,37.36756756756757
GK,5,Jordan Pickford,Everton,eng Premier League,38.0,3420.0,38.0,37.578947368421055,37.578947368421055
GK,6,Mattia Perin,Juventus,it Serie A,5.0,450.0,5.0,36.800000000000004,36.800000000000004
GK,7,Mark Flekken,Brentford,eng Premier League,37.0,3275.0,36.4,35.791208791208796,35.18931787017868
GK,8,Robert Sánchez,Chelsea,eng Premier League,32.0,2880.0,32.0,35.6875,35.6875
GK,9,Zion Suzuki,Parma,it Serie A,37.0,3314.0,36.8,34.66847826086956,34.522737472428325
GK,10,José Sá,Wolves,eng Premier League,29.0,2609.0,29.0,34.30344827586207,34.27716714426509
MF,1,Jeremy Doku,Manchester City,eng Premier League,29.0,1516.0,16.8,116.78571428571428,68.01360978618777
MF,2,Dani Ceballos,Real Madrid,es La Liga,23.0,1215.0,13.5,89.25925925925927,52.39130434782609
MF,3,Jack Grealish,Manchester City,eng Premier League,20.0,721.0,8.0,86.375,34.64603886959876
MF,4,Frenkie de Jong,Barcelona,es La Liga,26.0,1143.0,12.7,84.03149606299215,41.04615384615386
MF,5,Riccardo Sottil,Fiorentina,it Serie A,18.0,833.0,9.3,80.88172043010753,41.39042738434361
MF,6,Vitinha,Paris S-G,fr Ligue 1,29.0,2042.0,22.7,75.53303964757708,59.06627237254199
MF,7,Timo Werner,Tottenham,eng Premier League,18.0,516.0,5.7,75.12280701754386,24.06793505314076
MF,8,Rodrigo De Paul,Atlético Madrid,es La Liga,34.0,2106.0,23.4,74.0940170940171,50.99411764705883
MF,9,Sávio,Manchester City,eng Premier League,29.0,1766.0,19.6,73.39795918367346,49.71944761379934
MF,10,Luka Modrić,Real Madrid,es La Liga,35.0,1827.0,20.3,70.1576354679803,40.69142857142858
